timestamp,open,high,low,close,volume
2024-08-06 19:55:00,186.5,186.79,186.5,186.59,38
2024-08-06 19:45:00,184.03,186.5,184.03,186.5,10
2024-08-06 19:40:00,186.5,186.79,186.5,186.79,4
2024-08-06 19:20:00,186.5,186.5,186.5,186.5,10
2024-08-06 19:00:00,186.8,186.8,186.6,186.6,687954
2024-08-06 18:45:00,185.81,185.81,185.81,185.81,1
2024-08-06 18:35:00,185.607,185.607,185.607,185.607,30
2024-08-06 18:30:00,186.8,186.8,186.59,186.6,687968
2024-08-06 18:25:00,186.79,186.79,186.79,186.79,202
2024-08-06 18:20:00,186.58,186.72,186.58,186.72,13
2024-08-06 18:15:00,186.51,186.55,186.5,186.55,73
2024-08-06 18:10:00,186.5,186.5,186.5,186.5,1
2024-08-06 18:05:00,186.632,186.79,186.632,186.79,6
2024-08-06 18:00:00,184.03,184.03,184.03,184.03,2
2024-08-06 17:50:00,186.55,186.55,185.58,185.81,56
2024-08-06 17:45:00,185.15,186.27,185.0,186.27,49
2024-08-06 17:35:00,186.55,186.8,184.03,185.99,4126
2024-08-06 17:30:00,186.79,186.79,186.79,186.79,3
2024-08-06 17:25:00,186.0,186.0,186.0,186.0,3
2024-08-06 17:20:00,186.8,186.8,186.8,186.8,1
2024-08-06 17:15:00,186.8,186.8,186.8,186.8,100
2024-08-06 17:05:00,185.99,185.99,185.99,185.99,47
2024-08-06 17:00:00,184.03,186.796,184.03,186.79,15
2024-08-06 16:55:00,186.0,186.0,185.99,185.99,5
2024-08-06 16:50:00,186.45,186.45,186.05,186.05,70
2024-08-06 16:45:00,186.45,186.52,186.45,186.52,5
2024-08-06 16:40:00,186.8,186.8,186.76,186.76,102
2024-08-06 16:35:00,186.8,186.8,186.4,186.52,48
2024-08-06 16:25:00,186.96,186.98,185.99,186.8,59
2024-08-06 16:20:00,186.8,186.81,186.8,186.81,2
2024-08-06 16:15:00,186.8,187.6,186.8,187.6,3
2024-08-06 16:10:00,186.8,189.0,186.8,189.0,687953
2024-08-06 16:05:00,186.8,189.0,186.8,186.8,12229
2024-08-06 16:00:00,186.72,189.0,186.7,186.75,1596264
2024-08-06 15:55:00,187.16,187.27,186.62,186.72,314797
2024-08-06 15:50:00,187.54,187.8,187.11,187.145,117290
2024-08-06 15:45:00,187.66,187.81,187.355,187.55,72151
2024-08-06 15:40:00,187.81,187.95,187.71,187.715,39197
2024-08-06 15:35:00,187.74,187.89,187.64,187.79,35464
2024-08-06 15:30:00,187.72,187.84,187.57,187.74,42359
2024-08-06 15:25:00,187.975,188.03,187.625,187.735,32745
2024-08-06 15:20:00,187.34,188.05,187.31,187.99,40701
2024-08-06 15:15:00,187.655,187.68,187.3,187.36,26603
2024-08-06 15:10:00,187.645,187.89,187.42,187.67,29422
2024-08-06 15:05:00,187.81,187.91,187.53,187.65,46173
2024-08-06 15:00:00,188.21,188.29,187.745,187.8,59726
2024-08-06 14:55:00,188.75,188.76,188.13,188.17,45013
2024-08-06 14:50:00,188.815,188.85,188.635,188.725,17376
2024-08-06 14:45:00,188.715,188.9,188.595,188.83,27510
2024-08-06 14:40:00,188.72,188.77,188.625,188.72,17280
2024-08-06 14:35:00,188.78,188.85,188.73,188.73,19352
2024-08-06 14:30:00,188.6,188.81,188.54,188.78,22542
2024-08-06 14:25:00,188.75,188.76,188.59,188.6,24541
2024-08-06 14:20:00,188.51,188.8,188.49,188.76,19040
2024-08-06 14:15:00,188.145,188.55,188.1,188.51,26100
2024-08-06 14:10:00,188.195,188.29,188.1,188.12,23703
2024-08-06 14:05:00,188.315,188.35,188.05,188.2,33939
2024-08-06 14:00:00,188.495,188.51,188.28,188.34,51661
2024-08-06 13:55:00,188.42,188.52,188.24,188.495,81063
2024-08-06 13:50:00,188.26,188.42,188.24,188.41,24671
2024-08-06 13:45:00,188.15,188.255,188.015,188.24,24174
2024-08-06 13:40:00,188.1,188.19,187.99,188.16,20632
2024-08-06 13:35:00,188.04,188.15,187.955,188.085,20952
2024-08-06 13:30:00,187.82,188.08,187.82,188.04,24004
2024-08-06 13:25:00,187.66,187.86,187.65,187.8,28330
2024-08-06 13:20:00,187.45,187.71,187.44,187.605,15821
2024-08-06 13:15:00,187.48,187.62,187.38,187.38,23756
2024-08-06 13:10:00,187.44,187.53,187.37,187.44,20929
2024-08-06 13:05:00,187.15,187.46,187.07,187.458,33408
2024-08-06 13:00:00,187.3,187.3,187.13,187.14,32565
2024-08-06 12:55:00,187.38,187.47,187.27,187.27,18426
2024-08-06 12:50:00,186.88,187.44,186.88,187.38,21950
2024-08-06 12:45:00,186.81,187.05,186.795,186.885,20280
2024-08-06 12:40:00,186.87,186.91,186.8,186.8,16939
2024-08-06 12:35:00,186.55,186.88,186.53,186.86,37575
2024-08-06 12:30:00,186.6,186.681,186.58,186.58,11610
2024-08-06 12:25:00,186.77,186.77,186.545,186.61,16830
2024-08-06 12:20:00,187.16,187.16,186.74,186.79,14649
2024-08-06 12:15:00,186.87,187.23,186.87,187.145,27731
2024-08-06 12:10:00,186.65,186.91,186.5,186.88,33307
2024-08-06 12:05:00,186.65,186.8,186.55,186.6,22808
2024-08-06 12:00:00,186.73,186.79,186.58,186.755,19268
2024-08-06 11:55:00,186.37,186.76,186.37,186.66,20845
2024-08-06 11:50:00,186.44,186.64,186.335,186.45,16906
2024-08-06 11:45:00,186.27,186.41,186.03,186.41,19837
2024-08-06 11:40:00,186.25,186.42,186.08,186.27,16823
2024-08-06 11:35:00,185.99,186.33,185.88,186.19,20137
2024-08-06 11:30:00,185.655,186.1,185.59,185.93,43330
2024-08-06 11:25:00,185.97,186.22,185.62,185.69,21871
2024-08-06 11:20:00,186.271,186.271,185.93,185.97,24611
2024-08-06 11:15:00,186.42,186.45,186.19,186.24,20572
2024-08-06 11:10:00,186.57,186.62,186.25,186.44,28804
2024-08-06 11:05:00,186.685,186.79,186.5,186.599,25152
2024-08-06 11:00:00,186.61,186.72,186.37,186.58,22348
2024-08-06 10:55:00,186.7,186.76,186.413,186.45,33477
2024-08-06 10:50:00,186.855,186.92,186.68,186.74,19165
2024-08-06 10:45:00,186.43,186.95,186.411,186.855,39107
2024-08-06 10:40:00,186.365,186.59,186.365,186.41,26287
2024-08-06 10:35:00,186.12,186.68,185.96,186.35,28624
2024-08-06 10:30:00,185.96,186.09,185.63,186.09,21101
